Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.37     0.00   191344     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<int, false> const*, unsigned long) const
  0.00      0.37     0.00   191344     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00      0.37     0.00   191262     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node<int, false>*) const
  0.00      0.37     0.00   190355     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.37     0.00   188880     0.00     0.00  synchronize(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, int)
  0.00      0.37     0.00   188880     0.00     0.00  freeAllUpdateMemory(std::vector<int*, std::allocator<int*> >)
  0.00      0.37     0.00   188880     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.37     0.00   188880     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int*>, int*>::_S_select_on_copy(std::allocator<int*> const&)
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::end() const
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::begin() const
  0.00      0.37     0.00   188880     0.00     0.00  std::allocator<int*>::allocator()
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int*>(int* const*, int* const*, int**)
  0.00      0.37     0.00   188880     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_impl::_Vector_impl(std::allocator<int*> const&)
  0.00      0.37     0.00   188880     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_impl::_Vector_impl()
  0.00      0.37     0.00   188880     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_M_create_storage(unsigned long)
  0.00      0.37     0.00   188880     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_base(unsigned long, std::allocator<int*> const&)
  0.00      0.37     0.00   188880     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_Vector_base()
  0.00      0.37     0.00   188880     0.00     0.00  std::allocator_traits<std::allocator<int*> >::select_on_container_copy_construction(std::allocator<int*> const&)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**>(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**)
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::_M_erase_at_end(int**)
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::clear()
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::vector(std::vector<int*, std::allocator<int*> > const&)
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<int*, std::allocator<int*> >::vector()
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_erase_at_end(std::vector<int, std::allocator<int> >*)
  0.00      0.37     0.00   188880     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::clear()
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__niter_wrap<int**>(int** const&, int**)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__copy_move_a<false, int* const*, int**>(int* const*, int* const*, int**)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**>(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::uninitialized_copy<__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**>(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**, int*>(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**, std::allocator<int*>&)
  0.00      0.37     0.00   188880     0.00     0.00  int** std::copy<__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**>(__gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, __gnu_cxx::__normal_iterator<int* const*, std::vector<int*, std::allocator<int*> > >, int**)
  0.00      0.37     0.00   183489     0.00     0.00  int& std::__detail::_Identity::operator()<int&>(int&) const
  0.00      0.37     0.00   183489     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
